user_id,signup_date,plan_type,monthly_fee,churn,churn_date
1,10/16/2024,Basic,14.99,No,
2,4/25/2023,Standard,29.99,No,
3,1/26/2023,Basic,14.99,Yes,5/23/2023
4,10/9/2023,Basic,14.99,Yes,12/31/2024
5,9/8/2023,Premium,49.99,No,
6,8/17/2023,Basic,14.99,Yes,11/12/2023
7,5/23/2023,Standard,29.99,No,
8,4/15/2023,Basic,14.99,No,
9,11/23/2024,Basic,14.99,No,
10,7/12/2024,Basic,14.99,No,
11,3/31/2023,Standard,29.99,Yes,12/31/2024
12,8/27/2024,Basic,14.99,No,
13,3/8/2024,Basic,14.99,Yes,12/31/2024
14,2/2/2023,Standard,29.99,No,
15,1/31/2023,Basic,14.99,Yes,3/9/2023
16,4/6/2023,Basic,14.99,No,
17,8/12/2023,Basic,14.99,No,
18,8/27/2023,Basic,14.99,No,
19,6/1/2024,Standard,29.99,Yes,12/31/2024
20,9/8/2024,Basic,14.99,No,
21,1/28/2023,Standard,29.99,No,
22,7/28/2024,Standard,29.99,No,
23,7/23/2023,Premium,49.99,No,
24,10/27/2024,Standard,29.99,No,
25,12/19/2024,Standard,29.99,No,
26,7/12/2024,Standard,29.99,No,
27,3/5/2024,Basic,14.99,Yes,4/12/2024
28,8/14/2023,Standard,29.99,Yes,1/29/2024
29,4/4/2024,Basic,14.99,No,
30,8/26/2024,Standard,29.99,No,
31,10/12/2023,Premium,49.99,No,
32,1/7/2023,Premium,49.99,No,
33,6/13/2023,Basic,14.99,Yes,9/12/2023
34,12/15/2024,Basic,14.99,No,
35,3/8/2024,Standard,29.99,No,
36,12/15/2023,Standard,29.99,Yes,6/16/2024
37,10/12/2023,Standard,29.99,No,
38,6/9/2023,Standard,29.99,No,
39,8/9/2023,Basic,14.99,Yes,11/9/2023
40,12/11/2023,Premium,49.99,No,
41,4/15/2023,Standard,29.99,No,
42,4/5/2023,Basic,14.99,No,
43,1/25/2024,Standard,29.99,Yes,12/31/2024
44,4/10/2023,Basic,14.99,No,
45,1/3/2024,Premium,49.99,No,
46,12/19/2023,Premium,49.99,No,
47,9/10/2024,Basic,14.99,No,
48,9/28/2023,Standard,29.99,No,
49,2/14/2023,Premium,49.99,No,
50,4/15/2024,Basic,14.99,Yes,12/31/2024
51,7/3/2024,Basic,14.99,No,
52,5/8/2023,Basic,14.99,Yes,8/4/2023
53,1/23/2024,Basic,14.99,No,
54,3/22/2023,Standard,29.99,No,
55,7/19/2024,Premium,49.99,No,
56,10/28/2023,Basic,14.99,No,
57,10/5/2024,Basic,14.99,No,
58,9/25/2024,Basic,14.99,No,
59,1/6/2024,Standard,29.99,Yes,6/12/2024
60,8/14/2024,Basic,14.99,Yes,12/31/2024
61,7/16/2023,Standard,29.99,Yes,1/6/2024
62,12/22/2024,Standard,29.99,No,
63,3/13/2023,Standard,29.99,No,
64,2/16/2023,Standard,29.99,Yes,12/16/2023
65,11/8/2024,Standard,29.99,No,
66,8/22/2023,Premium,49.99,No,
67,10/24/2023,Basic,14.99,No,
68,3/23/2023,Premium,49.99,No,
69,8/27/2023,Basic,14.99,No,
70,4/14/2023,Basic,14.99,No,
71,1/25/2024,Premium,49.99,No,
72,10/12/2023,Standard,29.99,Yes,12/31/2024
73,4/9/2024,Basic,14.99,No,
74,10/12/2024,Premium,49.99,No,
75,1/9/2024,Standard,29.99,Yes,6/26/2024
76,6/16/2023,Standard,29.99,No,
77,1/15/2024,Basic,14.99,No,
78,12/30/2023,Standard,29.99,No,
79,8/3/2023,Premium,49.99,No,
80,11/17/2024,Premium,49.99,No,
81,10/1/2023,Premium,49.99,No,
82,12/19/2024,Standard,29.99,No,
83,11/30/2024,Basic,14.99,No,
84,10/25/2024,Premium,49.99,No,
85,3/15/2023,Basic,14.99,No,
86,9/15/2024,Basic,14.99,No,
87,10/12/2024,Basic,14.99,Yes,12/31/2024
88,6/25/2023,Standard,29.99,No,
89,6/30/2024,Standard,29.99,No,
90,9/8/2023,Basic,14.99,No,
91,6/17/2023,Basic,14.99,Yes,12/12/2024
92,4/18/2024,Standard,29.99,No,
93,1/24/2024,Basic,14.99,No,
94,10/4/2023,Standard,29.99,No,
95,10/17/2024,Premium,49.99,Yes,12/31/2024
96,12/5/2024,Basic,14.99,No,
97,7/24/2024,Basic,14.99,No,
98,8/13/2023,Premium,49.99,No,
99,12/2/2024,Basic,14.99,Yes,12/31/2024
100,11/29/2023,Standard,29.99,No,
101,2/27/2023,Premium,49.99,Yes,6/3/2023
102,8/23/2023,Basic,14.99,No,
103,2/2/2023,Premium,49.99,No,
104,11/20/2023,Standard,29.99,Yes,10/19/2024
105,2/15/2024,Basic,14.99,No,
106,10/2/2023,Premium,49.99,Yes,5/7/2024
107,3/9/2023,Basic,14.99,No,
108,8/5/2023,Premium,49.99,No,
109,8/3/2024,Premium,49.99,No,
110,11/19/2023,Standard,29.99,No,
111,8/6/2023,Standard,29.99,No,
112,11/2/2024,Standard,29.99,No,
113,5/26/2024,Basic,14.99,No,
114,2/10/2024,Basic,14.99,No,
115,10/20/2024,Basic,14.99,No,
116,4/14/2024,Standard,29.99,No,
117,5/27/2023,Standard,29.99,Yes,9/3/2023
118,9/29/2023,Basic,14.99,No,
119,5/23/2023,Basic,14.99,No,
120,9/10/2023,Basic,14.99,No,
121,7/28/2024,Standard,29.99,No,
122,7/5/2024,Basic,14.99,No,
123,9/27/2023,Standard,29.99,Yes,2/17/2024
124,8/21/2024,Standard,29.99,No,
125,3/14/2024,Standard,29.99,No,
126,8/20/2024,Basic,14.99,Yes,12/31/2024
127,2/13/2024,Basic,14.99,No,
128,1/6/2024,Standard,29.99,Yes,10/7/2024
129,8/13/2023,Standard,29.99,No,
130,5/22/2023,Standard,29.99,No,
131,6/5/2024,Premium,49.99,No,
132,5/20/2024,Standard,29.99,No,
133,4/4/2023,Basic,14.99,Yes,7/28/2023
134,2/18/2023,Basic,14.99,Yes,6/21/2023
135,4/23/2023,Premium,49.99,No,
136,6/6/2023,Standard,29.99,Yes,9/16/2024
137,10/4/2024,Standard,29.99,No,
138,6/13/2023,Basic,14.99,No,
139,11/27/2024,Premium,49.99,No,
140,3/8/2024,Basic,14.99,No,
141,9/2/2024,Standard,29.99,No,
142,3/7/2023,Standard,29.99,No,
143,1/30/2024,Premium,49.99,No,
144,1/26/2024,Premium,49.99,No,
145,9/2/2024,Premium,49.99,No,
146,4/24/2024,Standard,29.99,Yes,12/31/2024
147,6/25/2024,Premium,49.99,No,
148,9/15/2023,Premium,49.99,No,
149,7/20/2024,Basic,14.99,Yes,12/26/2024
150,1/12/2023,Basic,14.99,No,
151,11/27/2024,Basic,14.99,No,
152,4/28/2023,Basic,14.99,No,
153,11/29/2024,Basic,14.99,No,
154,7/3/2024,Standard,29.99,No,
155,10/1/2023,Basic,14.99,No,
156,10/18/2024,Basic,14.99,No,
157,12/15/2023,Premium,49.99,No,
158,4/25/2023,Basic,14.99,No,
159,10/28/2023,Standard,29.99,No,
160,3/21/2024,Basic,14.99,No,
161,6/11/2023,Standard,29.99,No,
162,4/9/2024,Standard,29.99,Yes,12/31/2024
163,1/4/2023,Standard,29.99,Yes,9/2/2023
164,9/27/2023,Standard,29.99,No,
165,5/27/2024,Basic,14.99,Yes,11/19/2024
166,7/2/2023,Basic,14.99,No,
167,6/3/2024,Premium,49.99,No,
168,4/19/2023,Standard,29.99,No,
169,10/2/2024,Basic,14.99,No,
170,11/2/2023,Basic,14.99,No,
171,10/16/2024,Standard,29.99,No,
172,6/3/2024,Standard,29.99,Yes,12/31/2024
173,9/15/2024,Standard,29.99,No,
174,7/23/2023,Premium,49.99,No,
175,6/6/2023,Basic,14.99,Yes,12/31/2024
176,1/18/2024,Premium,49.99,No,
177,6/15/2023,Basic,14.99,Yes,8/10/2023
178,7/6/2024,Standard,29.99,Yes,10/26/2024
179,6/27/2024,Standard,29.99,No,
180,1/1/2023,Premium,49.99,Yes,4/25/2024
181,9/5/2024,Standard,29.99,No,
182,11/28/2023,Basic,14.99,No,
183,5/15/2024,Standard,29.99,No,
184,1/20/2023,Premium,49.99,Yes,2/23/2024
185,4/25/2023,Standard,29.99,No,
186,1/7/2024,Standard,29.99,No,
187,11/11/2023,Standard,29.99,No,
188,9/3/2023,Basic,14.99,No,
189,3/1/2023,Standard,29.99,Yes,12/22/2023
190,9/4/2023,Premium,49.99,Yes,7/28/2024
191,8/3/2024,Basic,14.99,No,
192,3/22/2023,Premium,49.99,No,
193,3/29/2023,Standard,29.99,Yes,6/15/2023
194,5/12/2024,Standard,29.99,No,
195,3/12/2023,Standard,29.99,No,
196,6/29/2024,Premium,49.99,Yes,8/13/2024
197,5/9/2023,Premium,49.99,No,
198,5/12/2023,Standard,29.99,No,
199,11/6/2024,Basic,14.99,No,
200,5/1/2024,Basic,14.99,No,
201,7/16/2024,Basic,14.99,No,
202,6/19/2023,Premium,49.99,No,
203,9/29/2023,Standard,29.99,No,
204,6/24/2024,Premium,49.99,No,
205,9/13/2024,Basic,14.99,No,
206,3/9/2024,Premium,49.99,No,
207,8/5/2023,Standard,29.99,No,
208,7/6/2024,Basic,14.99,No,
209,12/7/2024,Premium,49.99,Yes,12/31/2024
210,7/25/2023,Standard,29.99,No,
211,11/16/2023,Premium,49.99,No,
212,2/13/2024,Standard,29.99,No,
213,11/18/2024,Premium,49.99,No,
214,10/27/2024,Basic,14.99,Yes,12/31/2024
215,1/18/2024,Basic,14.99,No,
216,3/24/2024,Premium,49.99,No,
217,6/13/2024,Premium,49.99,No,
218,4/7/2024,Standard,29.99,No,
219,5/4/2023,Premium,49.99,Yes,10/31/2023
220,9/11/2023,Premium,49.99,No,
221,8/19/2023,Basic,14.99,No,
222,3/7/2023,Standard,29.99,No,
223,12/13/2023,Basic,14.99,No,
224,1/22/2023,Standard,29.99,No,
225,8/25/2024,Standard,29.99,No,
226,7/21/2024,Standard,29.99,No,
227,8/24/2023,Premium,49.99,No,
228,8/25/2024,Basic,14.99,Yes,12/31/2024
229,8/14/2023,Basic,14.99,Yes,10/20/2023
230,1/8/2023,Standard,29.99,No,
231,3/14/2023,Standard,29.99,Yes,5/15/2024
232,12/25/2024,Standard,29.99,No,
233,10/8/2024,Basic,14.99,No,
234,3/2/2023,Premium,49.99,No,
235,8/23/2023,Basic,14.99,No,
236,3/11/2023,Standard,29.99,No,
237,2/2/2023,Standard,29.99,No,
238,12/5/2023,Standard,29.99,No,
239,3/14/2023,Standard,29.99,Yes,7/1/2023
240,6/10/2024,Basic,14.99,Yes,12/31/2024
241,9/1/2023,Standard,29.99,No,
242,10/13/2023,Premium,49.99,No,
243,11/16/2024,Premium,49.99,No,
244,5/12/2024,Basic,14.99,No,
245,8/8/2023,Basic,14.99,No,
246,7/6/2024,Basic,14.99,No,
247,5/16/2023,Standard,29.99,No,
248,8/7/2024,Premium,49.99,Yes,11/17/2024
249,8/13/2024,Basic,14.99,No,
250,4/29/2024,Standard,29.99,No,
251,9/6/2023,Basic,14.99,No,
252,4/29/2024,Basic,14.99,No,
253,2/21/2024,Basic,14.99,No,
254,7/14/2023,Premium,49.99,No,
255,4/7/2023,Premium,49.99,Yes,12/20/2023
256,4/10/2023,Standard,29.99,No,
257,11/5/2024,Basic,14.99,No,
258,3/17/2024,Standard,29.99,No,
259,12/29/2023,Standard,29.99,No,
260,3/9/2024,Basic,14.99,No,
261,2/25/2024,Standard,29.99,Yes,4/22/2024
262,4/23/2024,Basic,14.99,No,
263,2/25/2023,Basic,14.99,No,
264,11/20/2024,Basic,14.99,No,
265,10/31/2024,Standard,29.99,No,
266,10/23/2024,Standard,29.99,No,
267,4/11/2023,Basic,14.99,No,
268,3/4/2023,Standard,29.99,No,
269,2/17/2024,Basic,14.99,Yes,3/23/2024
270,12/14/2023,Premium,49.99,No,
271,4/22/2023,Basic,14.99,No,
272,9/12/2023,Basic,14.99,No,
273,7/16/2023,Basic,14.99,Yes,12/4/2023
274,7/14/2023,Basic,14.99,Yes,11/15/2023
275,7/3/2024,Basic,14.99,No,
276,4/4/2024,Basic,14.99,Yes,12/31/2024
277,5/24/2023,Premium,49.99,No,
278,3/8/2024,Premium,49.99,Yes,12/31/2024
279,7/7/2023,Standard,29.99,No,
280,10/13/2023,Standard,29.99,No,
281,4/18/2024,Standard,29.99,No,
282,9/13/2023,Basic,14.99,No,
283,3/19/2023,Standard,29.99,Yes,2/1/2024
284,3/29/2024,Basic,14.99,No,
285,7/17/2024,Basic,14.99,No,
286,4/11/2023,Basic,14.99,No,
287,2/21/2023,Standard,29.99,Yes,4/1/2023
288,10/29/2024,Standard,29.99,No,
289,7/7/2024,Basic,14.99,No,
290,1/16/2023,Basic,14.99,Yes,2/23/2023
291,4/6/2023,Standard,29.99,No,
292,8/31/2023,Basic,14.99,No,
293,6/20/2023,Premium,49.99,No,
294,2/21/2024,Premium,49.99,Yes,12/31/2024
295,5/12/2024,Basic,14.99,No,
296,5/7/2024,Premium,49.99,No,
297,8/7/2023,Basic,14.99,No,
298,2/15/2024,Premium,49.99,No,
299,3/2/2023,Standard,29.99,No,
300,6/18/2023,Basic,14.99,Yes,4/24/2024
301,1/24/2024,Basic,14.99,No,
302,1/3/2023,Standard,29.99,No,
303,2/4/2024,Standard,29.99,No,
304,9/29/2023,Standard,29.99,No,
305,4/10/2024,Basic,14.99,No,
306,10/20/2023,Basic,14.99,No,
307,3/9/2024,Standard,29.99,Yes,5/16/2024
308,12/14/2024,Basic,14.99,No,
309,7/23/2024,Standard,29.99,No,
310,11/8/2024,Basic,14.99,No,
311,5/13/2024,Standard,29.99,No,
312,6/8/2023,Premium,49.99,No,
313,7/14/2023,Basic,14.99,No,
314,10/31/2023,Basic,14.99,No,
315,8/11/2023,Basic,14.99,No,
316,3/1/2023,Standard,29.99,No,
317,8/16/2024,Basic,14.99,No,
318,7/9/2024,Basic,14.99,No,
319,3/4/2023,Basic,14.99,No,
320,11/18/2023,Standard,29.99,Yes,3/2/2024
321,2/28/2023,Standard,29.99,Yes,6/13/2024
322,2/21/2023,Standard,29.99,No,
323,8/21/2024,Premium,49.99,No,
324,5/3/2024,Basic,14.99,Yes,12/31/2024
325,5/29/2024,Premium,49.99,Yes,12/31/2024
326,6/27/2024,Standard,29.99,Yes,12/31/2024
327,6/11/2023,Basic,14.99,No,
328,2/28/2023,Standard,29.99,Yes,9/7/2024
329,6/4/2024,Basic,14.99,Yes,8/13/2024
330,3/24/2023,Premium,49.99,No,
331,7/10/2023,Basic,14.99,No,
332,3/12/2023,Premium,49.99,Yes,9/12/2024
333,9/1/2024,Standard,29.99,No,
334,3/11/2023,Basic,14.99,No,
335,11/22/2024,Premium,49.99,Yes,12/31/2024
336,8/29/2023,Basic,14.99,No,
337,2/18/2024,Premium,49.99,No,
338,5/3/2023,Standard,29.99,No,
339,8/6/2024,Standard,29.99,Yes,12/31/2024
340,9/10/2023,Basic,14.99,No,
341,8/15/2024,Basic,14.99,No,
342,8/31/2024,Basic,14.99,No,
343,2/10/2023,Standard,29.99,Yes,10/31/2023
344,9/26/2024,Standard,29.99,No,
345,3/25/2023,Premium,49.99,No,
346,3/5/2024,Basic,14.99,No,
347,11/4/2024,Basic,14.99,No,
348,8/20/2024,Basic,14.99,No,
349,8/1/2024,Basic,14.99,No,
350,6/19/2024,Standard,29.99,No,
351,11/20/2023,Premium,49.99,No,
352,9/25/2023,Basic,14.99,No,
353,7/29/2023,Standard,29.99,No,
354,11/16/2024,Standard,29.99,No,
355,11/18/2023,Standard,29.99,Yes,2/10/2024
356,9/2/2023,Premium,49.99,No,
357,9/29/2023,Basic,14.99,No,
358,2/10/2024,Basic,14.99,Yes,7/23/2024
359,5/15/2023,Standard,29.99,Yes,8/24/2023
360,11/18/2024,Basic,14.99,No,
361,10/22/2024,Basic,14.99,No,
362,11/4/2023,Basic,14.99,Yes,2/19/2024
363,4/13/2024,Standard,29.99,No,
364,11/20/2023,Premium,49.99,No,
365,3/16/2023,Basic,14.99,No,
366,1/10/2023,Basic,14.99,Yes,12/6/2023
367,4/14/2024,Premium,49.99,Yes,12/31/2024
368,9/28/2024,Basic,14.99,No,
369,7/30/2024,Premium,49.99,No,
370,4/13/2023,Basic,14.99,No,
371,3/17/2023,Standard,29.99,No,
372,7/4/2024,Standard,29.99,No,
373,8/7/2023,Standard,29.99,No,
374,6/2/2024,Basic,14.99,No,
375,9/29/2023,Standard,29.99,Yes,5/24/2024
376,5/16/2023,Premium,49.99,No,
377,12/24/2023,Basic,14.99,Yes,3/2/2024
378,3/12/2023,Standard,29.99,No,
379,9/8/2023,Basic,14.99,No,
380,1/14/2024,Basic,14.99,Yes,9/24/2024
381,10/19/2023,Premium,49.99,No,
382,6/11/2023,Premium,49.99,No,
383,3/24/2024,Basic,14.99,No,
384,7/10/2024,Standard,29.99,No,
385,12/21/2024,Basic,14.99,Yes,12/31/2024
386,11/6/2023,Premium,49.99,No,
387,9/18/2024,Standard,29.99,No,
388,10/31/2024,Basic,14.99,No,
389,6/25/2024,Basic,14.99,No,
390,1/9/2023,Standard,29.99,Yes,5/25/2023
391,11/14/2024,Basic,14.99,Yes,12/31/2024
392,7/21/2024,Basic,14.99,No,
393,11/3/2023,Basic,14.99,No,
394,11/10/2024,Basic,14.99,No,
395,4/17/2023,Standard,29.99,No,
396,5/18/2023,Premium,49.99,No,
397,9/28/2023,Basic,14.99,Yes,1/16/2024
398,4/29/2023,Standard,29.99,No,
399,4/20/2023,Basic,14.99,No,
400,7/20/2024,Basic,14.99,Yes,12/31/2024
401,6/9/2023,Standard,29.99,No,
402,10/6/2023,Standard,29.99,Yes,2/20/2024
403,10/16/2023,Standard,29.99,No,
404,9/11/2024,Standard,29.99,No,
405,8/4/2023,Basic,14.99,No,
406,12/18/2023,Basic,14.99,No,
407,7/28/2023,Basic,14.99,Yes,8/26/2024
408,12/4/2024,Standard,29.99,No,
409,10/11/2024,Standard,29.99,No,
410,9/28/2023,Standard,29.99,No,
411,6/1/2024,Premium,49.99,No,
412,5/15/2024,Standard,29.99,Yes,12/31/2024
413,9/15/2023,Standard,29.99,No,
414,2/22/2023,Basic,14.99,No,
415,4/5/2023,Premium,49.99,Yes,2/15/2024
416,10/11/2024,Basic,14.99,Yes,12/31/2024
417,3/9/2024,Standard,29.99,No,
418,10/11/2023,Premium,49.99,No,
419,2/15/2023,Premium,49.99,Yes,2/17/2024
420,1/4/2023,Standard,29.99,No,
421,12/8/2023,Standard,29.99,No,
422,5/14/2023,Basic,14.99,No,
423,10/14/2024,Premium,49.99,No,
424,9/26/2023,Standard,29.99,No,
425,6/15/2023,Standard,29.99,No,
426,3/28/2024,Premium,49.99,No,
427,7/18/2024,Standard,29.99,No,
428,12/23/2024,Basic,14.99,Yes,12/31/2024
429,3/13/2024,Standard,29.99,No,
430,7/28/2024,Basic,14.99,No,
431,1/10/2023,Basic,14.99,No,
432,4/25/2023,Standard,29.99,No,
433,3/19/2023,Premium,49.99,No,
434,12/8/2024,Basic,14.99,No,
435,6/2/2023,Standard,29.99,Yes,11/20/2023
436,7/12/2024,Basic,14.99,No,
437,2/6/2023,Standard,29.99,No,
438,1/14/2024,Basic,14.99,No,
439,8/19/2024,Basic,14.99,Yes,12/31/2024
440,7/19/2024,Premium,49.99,No,
441,6/1/2023,Basic,14.99,No,
442,3/16/2024,Premium,49.99,No,
443,5/11/2023,Standard,29.99,No,
444,2/12/2023,Premium,49.99,No,
445,11/12/2023,Basic,14.99,No,
446,1/9/2024,Premium,49.99,Yes,12/31/2024
447,2/10/2023,Basic,14.99,Yes,3/14/2023
448,1/2/2024,Premium,49.99,No,
449,8/4/2023,Standard,29.99,Yes,2/19/2024
450,11/29/2024,Premium,49.99,Yes,12/31/2024
451,9/13/2023,Standard,29.99,Yes,7/8/2024
452,11/13/2024,Standard,29.99,Yes,12/31/2024
453,4/16/2023,Basic,14.99,No,
454,12/29/2023,Basic,14.99,Yes,12/31/2024
455,7/27/2024,Basic,14.99,No,
456,2/21/2024,Premium,49.99,No,
457,9/27/2024,Basic,14.99,No,
458,6/8/2023,Basic,14.99,No,
459,8/31/2023,Basic,14.99,No,
460,6/16/2023,Premium,49.99,Yes,4/4/2024
461,7/1/2023,Standard,29.99,No,
462,2/27/2024,Standard,29.99,No,
463,1/26/2023,Basic,14.99,No,
464,7/3/2023,Standard,29.99,No,
465,12/7/2023,Premium,49.99,No,
466,2/26/2024,Standard,29.99,No,
467,11/16/2024,Premium,49.99,No,
468,9/12/2023,Premium,49.99,No,
469,10/1/2023,Standard,29.99,No,
470,6/13/2023,Standard,29.99,Yes,1/9/2024
471,12/19/2024,Premium,49.99,Yes,12/31/2024
472,4/21/2023,Basic,14.99,No,
473,1/27/2024,Premium,49.99,No,
474,2/9/2023,Basic,14.99,No,
475,4/26/2024,Standard,29.99,No,
476,8/16/2023,Standard,29.99,No,
477,7/24/2023,Standard,29.99,No,
478,4/16/2024,Standard,29.99,Yes,12/31/2024
479,12/25/2023,Premium,49.99,No,
480,11/9/2023,Standard,29.99,No,
481,8/22/2023,Basic,14.99,No,
482,8/17/2023,Standard,29.99,Yes,10/2/2023
483,1/25/2023,Standard,29.99,No,
484,11/6/2024,Standard,29.99,Yes,12/31/2024
485,7/17/2023,Premium,49.99,No,
486,2/13/2024,Basic,14.99,No,
487,12/3/2023,Standard,29.99,No,
488,10/13/2023,Basic,14.99,No,
489,3/13/2023,Basic,14.99,No,
490,10/13/2023,Basic,14.99,Yes,12/10/2023
491,12/26/2023,Premium,49.99,Yes,12/31/2024
492,10/18/2024,Standard,29.99,No,
493,6/5/2024,Basic,14.99,Yes,12/23/2024
494,2/14/2024,Basic,14.99,No,
495,11/26/2024,Premium,49.99,Yes,12/31/2024
496,7/3/2024,Basic,14.99,No,
497,12/6/2023,Basic,14.99,No,
498,1/29/2023,Premium,49.99,No,
499,4/29/2023,Premium,49.99,Yes,7/31/2023
500,9/25/2023,Premium,49.99,No,
501,7/2/2023,Standard,29.99,No,
502,8/17/2024,Standard,29.99,Yes,12/17/2024
503,9/29/2023,Standard,29.99,No,
504,2/9/2023,Premium,49.99,No,
505,4/22/2023,Standard,29.99,Yes,7/20/2023
506,9/2/2024,Premium,49.99,Yes,12/31/2024
507,3/20/2024,Standard,29.99,No,
508,12/20/2023,Basic,14.99,No,
509,11/18/2023,Basic,14.99,Yes,12/31/2024
